iter	RMSE
0	1.195300399
1	1.137075109
2	1.087177665
3	1.043050802
4	1.005035063
5	0.9726877969
6	0.9421734344
7	0.9177760583
8	0.8965049954
9	0.8748203163
10	0.855727561
11	0.8399069506
12	0.825002981
13	0.8115415847
14	0.796661292
15	0.7860679823
16	0.7764902153
17	0.767451228
18	0.7600902361
19	0.7516386349
20	0.7452732812
21	0.7403858477
22	0.7357922728
23	0.7310847269
24	0.7229677217
25	0.7155745687
26	0.7120716199
27	0.7087604746
28	0.70577866
29	0.7028868636
30	0.70072246
31	0.6961740166
32	0.6876094716
33	0.6823868369
34	0.6779653452
35	0.6750667183
36	0.6696821343
37	0.6656021225
38	0.6615235859
39	0.657119165
40	0.6524063826
41	0.6505199689
42	0.6466387703
43	0.643698618
44	0.6418163336
45	0.6376257351
46	0.6347666817
47	0.6306353731
48	0.6285108906
49	0.6248758954
50	0.6212215054
51	0.6189792448
52	0.6173843552
53	0.6155872921
54	0.6140585014
55	0.6129271318
56	0.6108475516
57	0.6090906312
58	0.6046967805
59	0.6023540229
60	0.5988531745
61	0.5954388086
62	0.5902756032
63	0.5879288415
64	0.5856127118
65	0.5820812288
66	0.5805537635
67	0.578255281
68	0.5755629835
69	0.5737913556
70	0.5726939904
71	0.5720259558
72	0.5698540896
73	0.5674712883
74	0.5666921159
75	0.5658042183
76	0.5638645904
77	0.5607237373
78	0.5595578103
79	0.5586904308
80	0.5571748164
81	0.5559163658
82	0.5549064953
83	0.5541882608
84	0.5528116442
85	0.5511672798
86	0.5505398521
87	0.5483885944
88	0.5475178962
89	0.5457735173
90	0.5441985184
91	0.5434751365
92	0.5422414302
93	0.5413599152
94	0.5405873902
95	0.5395004149
96	0.5374553178
97	0.5359210543
98	0.5349155406
99	0.5344212355
100	0.5329242005
101	0.5316936972
102	0.5310139018
103	0.5290383843
104	0.5271817701
105	0.5260758837
106	0.5251694762
107	0.5247463241
108	0.5238242457
109	0.522735468
110	0.5220049716
111	0.5215572991
112	0.5201554222
113	0.5197673544
114	0.518880216
115	0.5179446201
116	0.5174442558
117	0.51609583
118	0.5149666819
119	0.514236831
120	0.5136826465
121	0.5134074185
122	0.5123943332
123	0.5121116089
124	0.5114212319
125	0.5101490728
126	0.5092185368
127	0.5079387444
128	0.507102707
129	0.5043446587
130	0.5037578553
131	0.503155711
132	0.5024884656
133	0.5019265065
134	0.5016747712
135	0.5012153961
136	0.5007700177
137	0.4998150504
138	0.4975808014
139	0.497114086
140	0.4968272997
141	0.4958693013
142	0.495139689
143	0.4947354939
144	0.4945051264
145	0.4940701354
146	0.4930668543
147	0.4926789174
148	0.4920395684
149	0.4916367516
150	0.4913181952
151	0.4910722371
152	0.4904611351
153	0.490023128
154	0.4890207178
155	0.4887102026
156	0.4882422771
157	0.4875347401
158	0.4873080708
159	0.4870593452
160	0.4867196366
161	0.4863662038
162	0.4857039943
163	0.4852803919
164	0.4843167862
165	0.4838266224
166	0.4834629858
167	0.4832341701
168	0.4829618688
169	0.4826540094
170	0.4819795496
171	0.4814918732
172	0.4799237401
173	0.4797859885
174	0.4796849196
175	0.4789244057
176	0.4784782479
177	0.477714878
