iter	Passed	Remaining
0	6	6613
1	10	5385
2	14	4954
3	18	4718
4	22	4567
5	26	4447
6	30	4393
7	34	4301
8	38	4269
9	42	4178
10	45	4132
11	49	4082
12	53	4063
13	57	4067
14	61	4052
15	65	4035
16	69	4014
17	72	3979
18	76	3962
19	80	3945
20	83	3913
21	87	3888
22	90	3863
23	95	3873
24	99	3865
25	103	3892
26	107	3875
27	110	3852
28	114	3822
29	117	3804
30	121	3790
31	124	3777
32	129	3783
33	132	3773
34	136	3759
35	140	3751
36	143	3747
37	147	3742
38	151	3728
39	155	3722
40	159	3719
41	162	3705
42	166	3716
43	170	3714
44	174	3706
45	178	3706
46	182	3702
47	186	3702
48	190	3693
49	194	3686
50	197	3682
51	201	3671
52	204	3659
53	208	3648
54	211	3638
55	214	3623
56	218	3613
57	222	3608
58	225	3603
59	229	3594
60	233	3593
61	237	3588
62	241	3598
63	245	3593
64	249	3589
65	253	3589
66	257	3580
67	260	3572
68	264	3566
69	267	3560
70	271	3553
71	274	3542
72	278	3539
73	282	3536
74	286	3527
75	289	3521
76	293	3519
77	297	3515
78	301	3509
79	304	3500
80	308	3498
81	311	3492
82	315	3486
83	318	3477
84	323	3477
85	326	3471
86	330	3466
87	333	3460
88	337	3454
89	341	3450
90	345	3447
91	348	3440
92	352	3434
93	356	3431
94	359	3425
95	363	3421
96	367	3417
97	370	3413
98	374	3409
99	378	3403
100	381	3399
101	385	3392
102	388	3387
103	393	3386
104	397	3384
105	400	3381
106	404	3379
107	408	3371
108	412	3369
109	416	3371
110	420	3366
111	423	3358
112	427	3357
113	431	3351
114	434	3346
115	438	3343
116	442	3336
117	446	3335
118	449	3331
119	453	3329
120	457	3322
121	460	3315
122	464	3310
123	467	3303
124	471	3301
125	475	3297
126	479	3295
127	483	3293
128	486	3286
129	490	3285
130	494	3280
131	497	3274
132	501	3270
133	505	3266
134	508	3258
135	512	3254
136	516	3252
137	520	3251
138	524	3247
139	527	3242
140	531	3235
141	534	3229
142	538	3225
143	541	3220
144	545	3213
145	548	3207
146	552	3204
147	555	3200
148	559	3196
149	563	3193
150	567	3190
151	571	3186
152	575	3184
153	579	3181
154	583	3179
155	586	3175
156	590	3170
157	594	3167
158	597	3161
159	601	3156
160	604	3152
161	608	3146
162	611	3141
163	615	3136
164	620	3138
165	624	3135
166	627	3130
167	631	3125
168	634	3120
169	638	3116
170	642	3112
171	645	3108
172	649	3106
173	653	3101
174	657	3098
175	661	3097
176	666	3096
177	670	3096
178	674	3093
179	678	3091
180	682	3085
181	685	3081
182	689	3077
183	693	3073
184	696	3066
185	699	3061
186	703	3057
187	707	3053
188	711	3051
189	715	3050
190	719	3046
191	722	3041
192	726	3037
193	730	3035
194	734	3031
195	737	3026
196	741	3022
197	745	3017
198	748	3013
199	752	3008
200	756	3007
201	759	3001
202	763	2997
203	766	2992
204	770	2987
205	773	2982
206	777	2978
207	782	2979
208	786	2976
209	790	2973
210	794	2969
211	798	2966
212	801	2962
213	805	2957
214	809	2954
215	812	2949
216	816	2947
217	820	2943
218	824	2940
219	827	2935
220	831	2930
221	834	2925
222	839	2924
223	843	2920
224	846	2917
225	850	2912
226	853	2907
227	857	2904
228	863	2907
229	867	2904
230	871	2899
231	875	2896
232	878	2891
233	882	2887
234	886	2884
235	889	2880
236	893	2876
237	896	2871
238	900	2866
239	904	2863
240	907	2858
241	911	2853
242	915	2852
243	919	2848
244	922	2844
245	926	2839
246	930	2835
247	933	2831
248	937	2827
249	941	2823
250	944	2818
251	949	2816
252	952	2812
253	956	2808
254	959	2803
255	963	2799
256	967	2796
257	970	2792
258	974	2787
259	979	2786
260	982	2782
261	986	2777
262	989	2773
263	993	2768
264	996	2765
265	1002	2766
266	1006	2762
267	1009	2757
268	1013	2753
269	1016	2748
270	1020	2744
271	1023	2740
272	1027	2735
273	1030	2731
274	1035	2728
275	1038	2724
276	1041	2719
277	1045	2716
278	1049	2711
279	1053	2708
280	1057	2705
281	1061	2701
282	1065	2699
283	1069	2696
284	1073	2692
285	1077	2690
286	1082	2688
287	1085	2684
288	1090	2681
289	1094	2679
290	1098	2675
291	1102	2672
292	1106	2670
293	1111	2668
294	1115	2665
295	1119	2663
296	1123	2660
297	1127	2656
298	1131	2652
299	1135	2648
300	1138	2644
301	1142	2640
302	1146	2637
303	1150	2633
304	1154	2629
305	1157	2625
306	1161	2621
307	1165	2617
308	1168	2613
309	1172	2609
310	1175	2605
311	1179	2601
312	1183	2597
313	1187	2593
314	1190	2589
315	1194	2585
316	1198	2581
317	1202	2578
318	1206	2574
319	1218	2588
320	1221	2583
321	1225	2579
322	1228	2575
323	1232	2570
324	1236	2567
325	1239	2562
326	1243	2558
327	1246	2553
328	1250	2549
329	1253	2545
330	1257	2542
331	1261	2538
332	1265	2534
333	1268	2530
334	1272	2525
335	1275	2521
336	1279	2517
337	1283	2513
338	1286	2508
339	1290	2504
340	1294	2501
341	1298	2498
342	1302	2493
343	1305	2490
344	1309	2486
345	1312	2481
346	1317	2478
347	1320	2474
348	1324	2470
349	1327	2465
350	1331	2461
351	1334	2457
352	1337	2452
353	1342	2449
354	1348	2449
355	1351	2445
356	1355	2441
357	1358	2436
358	1362	2432
359	1366	2428
360	1369	2424
361	1373	2421
362	1377	2417
363	1380	2412
364	1384	2409
365	1388	2405
366	1392	2401
367	1396	2397
368	1399	2393
369	1402	2388
370	1406	2384
371	1410	2380
372	1413	2376
373	1417	2372
374	1421	2369
375	1425	2365
376	1428	2360
377	1432	2356
378	1435	2352
379	1440	2350
380	1443	2345
381	1447	2341
382	1451	2338
383	1454	2333
384	1459	2330
385	1462	2327
386	1466	2322
387	1470	2318
388	1473	2314
389	1477	2310
390	1481	2306
391	1484	2302
392	1488	2299
393	1492	2296
394	1496	2292
395	1501	2289
396	1505	2286
397	1509	2282
398	1513	2279
399	1517	2275
400	1520	2271
401	1524	2267
402	1527	2263
403	1531	2259
404	1535	2255
405	1539	2252
406	1543	2248
407	1546	2244
408	1550	2239
409	1553	2235
410	1557	2232
411	1561	2228
412	1565	2224
413	1569	2221
414	1573	2217
415	1577	2215
416	1582	2212
417	1586	2208
418	1589	2204
419	1593	2200
420	1597	2196
421	1601	2192
422	1604	2188
423	1608	2184
424	1611	2180
425	1615	2176
426	1619	2172
427	1622	2168
428	1626	2164
429	1629	2160
430	1633	2156
431	1636	2152
432	1640	2148
433	1643	2143
434	1647	2139
435	1650	2135
436	1654	2132
437	1658	2127
438	1661	2123
439	1665	2119
440	1668	2115
441	1672	2111
442	1676	2107
443	1679	2103
444	1683	2099
445	1687	2096
446	1690	2091
447	1694	2087
448	1698	2083
449	1701	2080
450	1705	2076
451	1708	2071
452	1712	2068
453	1716	2063
454	1720	2060
